temperature,strain_name,strain_id,plate,row,column,query_id,t,p,mean_dif,sd_dif,mean_lgr,sd_lgr
30,Oct1,rec4984,5,10,21,g1,-0.17865134320260898,0.8608304914139843,-0.00587696081572249,0.08551988070489196,-0.015945494710440208,0.19816022340706219
30,Oct1,rec4984,5,10,21,g6,1.363892701504045,0.19908169748079907,0.03387418195584532,0.05909443312198212,0.07828865311638974,0.1325411565629711
30,aac1,rec6190,15,4,13,g1,-0.3090407938084374,0.7642565520151731,-0.01970023933067092,0.15626282098584665,-0.041925217176822356,0.22427742729205016
30,aac1,rec6190,15,4,13,g6,2.174235974206259,0.053599390861068984,0.11021320785576832,0.08746963322331562,0.1379809548027788,0.11593092559817957
30,aac1,rec6190,16,4,14,g1,-0.002182802202454032,0.9982966207558319,-9.283622684971848e-5,0.11804248365986242,-0.004169889841959075,0.1676871312008021
30,aac1,rec6190,16,4,14,g6,2.0710282186238147,0.060526241189266326,0.08115103244788958,0.1157825308771939,0.1066650390364246,0.1578988086677041
30,aac3,rec3223,14,14,2,g1,1.0026928092576366,0.34913228853139605,0.04892377414765297,0.1366983889145158,0.47292435950265743,1.262365351587431
30,aac3,rec3223,14,14,2,g6,-1.417511726590951,0.1922492879681362,-0.004724048191044114,0.0063468827215016135,-0.17457486756866844,0.2629851350916059
30,aad3,rec7253,15,12,3,g1,-0.7424416479619453,0.4704410258937659,-0.03291906724113269,0.07126956104463239,-0.06927406093415836,0.1507143478040311
30,aad3,rec7253,15,12,3,g6,-3.7223853171309367,0.002624883555752344,-0.13157676189197454,0.11067688481201134,-0.27883921363089226,0.23046917951040236
30,aad3,rec7253,16,12,4,g1,2.066940481728687,0.06021720442483178,0.12508372688627376,0.09835509757556975,0.27206232249182766,0.18950809984359065
30,aad3,rec7253,16,12,4,g6,0.025290315326560307,0.9801805895082325,0.0017586490795046608,0.15938565240302646,0.0015682994400876976,0.3207875707198691
30,aad4,rec3940,10,13,10,g1,-2.5985668247024853,0.02159266251587627,-0.028453982627654445,0.02180377692232616,-0.04170337013791392,0.0318827806313214
30,aad4,rec3940,10,13,10,g6,-0.8843199242346086,0.40345742502572757,-0.028952876182567283,0.09588760323776326,-0.04752728865231612,0.14266291019266147
30,aad6,rec5677,8,11,10,g1,-0.5357593771311946,0.600675540733921,-0.018522656634178528,0.05586198980345337,-0.026829325187010568,0.07913403741659558
30,aad6,rec5677,8,11,10,g6,-1.455286109780256,0.1701959095120329,-0.04047006493090022,0.04323038592645441,-0.056224379696536625,0.06284524119113008
30,aah1,rec2935,12,12,2,g1,1.3545883515033175,0.1971487425152866,0.08881520504361662,0.051079868197043264,0.12698084819460914,0.07383802453426522
30,aah1,rec2935,12,12,2,g6,2.574428494391845,0.02308311102249992,0.15547960537988695,0.1155963527897954,0.21634326013164146,0.16310033553190903
30,aap1,rec1874,4,1,20,g1,0.8995872197962659,0.3837253145477202,0.03841512415443228,0.06198841050807547,0.06335672536955846,0.10171862889863642
30,aap1,rec1874,4,1,20,g6,-1.025974430679479,0.32234034716765403,-0.047192236251174094,0.06929972459509805,-0.08083925453555647,0.1181261292442667
30,aat1,rec4956,5,8,1,g1,1.0301050770447495,0.32133245565056323,0.03700088169092304,0.032628437627321656,0.055697967376582544,0.05151012287226747
30,aat1,rec4956,5,8,1,g6,0.9670262740901778,0.3505048380004938,0.03381676362925748,0.06847252156107138,0.05122204208252139,0.10887791534976919
30,aat2,rec1582,1,8,3,g1,-1.234183154022034,0.23809222655936113,-0.025739503588326974,0.018953633495591978,-0.31107866891647695,0.22303923994691774
30,aat2,rec1582,1,8,3,g6,-1.0301899472289893,0.3227072192797201,-0.02448307089786015,0.0238561861511433,-0.3456939680340363,0.33918857528897745
30,abf2,rec6205,8,11,1,g1,1.9828926120628523,0.07936506250137791,0.09442317730513419,0.13932072850260818,0.3204780336975715,0.5661927624879511
30,abf2,rec6205,8,11,1,g6,0.7752028006487819,0.45589923494980833,0.03860368033076962,0.14328069167856897,0.16987485769399438,0.5800171155038041
30,abm1,rec2586,10,12,10,g1,0.3092549307409963,0.7617347978449365,0.014094085167397713,0.06444622264939336,0.0183859550551984,0.07764513692553188
30,abm1,rec2586,10,12,10,g6,-3.199310726506744,0.0064592673169996005,-0.14868912393035716,0.05997282698762694,-0.19986256129985372,0.0829222179627901
30,abp1,rec7199,13,3,16,g1,-2.8144413494140337,0.014187623734170826,-0.08619672232940302,0.05938051390862993,-0.10705342174287148,0.07445555350539329
30,abp1,rec7199,13,3,16,g6,-2.404428118397822,0.03077486921620637,-0.06983145816875524,0.08067799915658577,-0.08578741804949562,0.09936611009793113
30,abp140,rec2495,5,13,1,g1,0.7890074912272119,0.4437941240556783,0.04284384461827112,0.04802615560784259,0.06521729029724477,0.07473609673185365
30,abp140,rec2495,5,13,1,g6,0.4876039677533887,0.6334203479853343,0.02798888151373749,0.07286506109109382,0.04243133432472441,0.10865494230110165
30,abp140,rec2496,5,13,3,g1,1.4158246379576784,0.1853581859337489,0.02262879520959825,0.03983042815222307,0.03982211587531629,0.0678250808916435
30,abp140,rec2496,5,13,3,g6,0.6267042292346968,0.5409446369471671,0.012354104325849949,0.044129605802545886,0.02138695472524602,0.07621169951269978
30,abp140,rec7719,12,15,5,g1,-1.2794000346032297,0.2234045464270276,-0.05577573120716602,0.10593672123747433,-0.07557657058499552,0.14153008642391654
30,abp140,rec7719,12,15,5,g6,-0.7828525870267884,0.44680947147746286,-0.029504173506324505,0.07582631248099012,-0.038585839407809894,0.0997391993017238
30,abz1,rec7389,15,16,7,g1,0.18350614932902495,0.8570883167508176,0.011700924038304384,0.12484125249899586,0.02088096312219897,0.18508676011419256
30,abz1,rec7389,15,16,7,g6,-0.44687127125704806,0.6634364639510857,-0.02497852025581756,0.0944336349850765,-0.029093850251010377,0.13848241908324044
30,abz1,rec7389,16,16,8,g1,-0.1605977218871296,0.8747767721838242,-0.008107858309128784,0.08309064093409883,-0.008895341357309981,0.11890655945453624
30,abz1,rec7389,16,16,8,g6,-1.5919959924798215,0.13612007859910757,-0.07561954511235146,0.08408104274028728,-0.10799735192620055,0.13153893468432848
30,abz2,rec875,2,6,14,g1,-1.5543645199378828,0.1433533705381534,-0.049016350907827244,0.10290933055256023,-0.07689624615611611,0.164205783410424
30,abz2,rec875,2,6,14,g6,0.05210520508048021,0.9592542119575322,0.0017701607077328738,0.10258531129538227,7.790910158843927e-4,0.15231086143865205
30,aca1,rec179,4,6,14,g1,-0.2527020197827641,0.8041933222506051,-0.004934355563177367,0.06732760501233809,-0.006410786692886674,0.08890710300477883
30,aca1,rec179,4,6,14,g6,-2.1450523000940684,0.051770380742316324,-0.052331506409918446,0.05524949962165631,-0.07182647818840532,0.07712768325819877
30,acb1,rec4667,5,1,24,g1,-0.1166158171409826,0.9088220771538165,-0.007055117023296725,0.07232329949548978,-0.010026964399584247,0.10520689414871086
30,acb1,rec4667,5,1,24,g6,0.9704153729748994,0.3483476997268945,0.06104648994512082,0.13462508545859178,0.08494030310711669,0.1867370806912343
30,acb1,rec7774,13,7,19,g1,1.732859462505901,0.10508400430735812,0.04142462260689719,0.03505370729237512,0.06867705504399259,0.05841035393948092
30,acb1,rec7774,13,7,19,g6,-1.5102668479168162,0.15596934831108594,-0.04467349189881939,0.062124113215309695,-0.08040528703748631,0.11116648753746938
30,ace2,rec4088,4,13,23,g1,-0.09941960864044841,0.922316875260554,-0.009691678157641073,0.14755257858522244,-0.0015021045783108027,0.21359361046570652
30,ace2,rec4088,4,13,23,g6,2.955846821708269,0.013381177318419363,0.26086365232405107,0.1516181449696803,0.3661072943746955,0.23954734598870253
30,acf2,rec4101,4,15,21,g1,-0.7009110663003794,0.49611694526199057,-0.027564263974103026,0.08790114348695617,-0.03527278675293241,0.11534947747295926
30,acf2,rec4101,4,15,21,g6,0.5316468603990008,0.6034155100879528,0.02287332889882724,0.11190362798412228,0.03155267306595169,0.14639616073887313
30,acf4,rec2560,10,10,22,g1,0.9108280127986806,0.38777637631668416,0.0403579376286779,0.10426577691714146,0.04359217133449194,0.12754559689229286
30,acf4,rec2560,10,10,22,g6,1.154281342764269,0.2801976905406278,0.05129082399971552,0.09898272382745137,0.05685949074032645,0.1194160403471635
30,ach1,rec3041,7,1,24,g1,-0.7430123184714206,0.47052462761450464,-0.03759400762060892,0.09411908529511218,-0.05540346480284285,0.1413314612204249
30,ach1,rec3041,7,1,24,g6,0.2585417988985662,0.7997920238717439,0.010765920149481653,0.08906701241739971,0.015189486796039297,0.12481725432433914
30,ack1,rec3901,10,7,22,g1,1.2624747572567196,0.2275249523778801,0.03456313356236357,0.0623124155969606,0.06684041528185336,0.11960662209521944
30,ack1,rec3901,10,7,22,g6,-0.7681537019319047,0.45531672353440067,-0.019149977623707598,0.07175526261296819,-0.0378794555495256,0.14523451627372808
30,acm1,rec1025,2,11,7,g1,-1.5092204547613763,0.15565455838816716,-0.05962895807586671,0.08141560103390684,-0.06793083936863148,0.09340304040487883
30,acm1,rec1025,2,11,7,g6,0.2758911723551793,0.7870634051875528,0.015133454915030126,0.1192624951366358,0.013826156834938777,0.13774897665914387
30,aco1,rec5212,6,1,18,g1,-0.8457462090488427,0.4130381646347763,-0.03996274351236758,0.10835593037362369,-0.052759338103859334,0.14055719462028546
30,aco1,rec5212,6,1,18,g6,-1.4827682955976593,0.16211807424533484,-0.0703621530078315,0.09847637830210851,-0.09243748614229562,0.12993327953580683
30,aco2,rec1225,6,4,10,g1,1.2662666489526788,0.22851455825031441,0.03470559808640994,0.028662746072780628,0.04305517606433444,0.034752780802483924
30,aco2,rec1225,6,4,10,g6,1.5136670710632982,0.1527987739192594,0.03620031803438853,0.0785805018068972,0.045636130281548004,0.09976972603863188
30,aco2,rec7022,13,10,6,g1,-0.46693962806456335,0.6477511771297263,-0.013789125743067093,0.07086048690502077,-0.019278305328697422,0.10234080464877662
30,aco2,rec7022,13,10,6,g6,1.0755664525328035,0.3076652604195912,0.05483829133184952,0.09244384570049154,0.06803979065152925,0.12386527148883907
30,acs1,rec6868,10,12,3,g1,-0.626472499715082,0.5436837657322573,-0.018927364364000304,0.05791522697113523,-0.022150008649332403,0.07401846340961832
