template,position,plate_row,plate_col,plate_x,plate_y,rough_l,rough_r,rough_t,rough_b,rotate,fine_l,fine_r,fine_t,fine_b,invert
2021.10.11 g6 MATa 9_16.tif,1,1,2,900,625,170,1630,140,1110,0,100,1381,32,899,TRUE
2021.10.11 g6 MATa 9_16.tif,2,2,2,2495,625,1770,3220,140,1110,-0.37,86,1366,44,911,TRUE
2021.10.11 g6 MATa 9_16.tif,3,1,4,900,1755,170,1630,1270,2240,0,99,1378,32,900,TRUE
2021.10.11 g6 MATa 9_16.tif,4,2,4,2495,1755,1770,3220,1270,2240,-0.25,85,1364,39,908,TRUE
2021.10.11 g6 MATa 9_16.tif,5,1,6,900,2850,170,1630,2380,3320,0,101,1379,38,905,TRUE
2021.10.11 g6 MATa 9_16.tif,6,2,6,2495,2850,1770,3220,2380,3320,-0.07999999999999996,77,1354,46,913,TRUE
2021.10.11 g6 MATa 9_16.tif,7,1,9,900,3995,170,1630,3510,4480,-0.04999999999999993,99,1376,36,904,TRUE
2021.10.11 g6 MATa 9_16.tif,8,2,9,2495,3995,1770,3220,3510,4480,-0.07999999999999996,76,1353,44,912,TRUE
2021.10.11 g6 MATa 1_8.tif,1,1,2,900,610,170,1630,140,1080,0.040000000000000036,100,1378,32,900,TRUE
2021.10.11 g6 MATa 1_8.tif,2,2,2,2495,610,1770,3220,140,1080,-0.25,83,1363,38,906,TRUE
2021.10.11 g6 MATa 1_8.tif,3,1,5,900,1735,170,1630,1270,2200,0.010000000000000009,98,1378,30,898,TRUE
2021.10.11 g6 MATa 1_8.tif,4,2,5,2495,1735,1770,3220,1270,2200,0,75,1352,37,905,TRUE
2021.10.11 g6 MATa 1_8.tif,5,1,8,900,2850,170,1630,2380,3320,0,102,1379,36,905,TRUE
2021.10.11 g6 MATa 1_8.tif,6,2,8,2495,2850,1770,3220,2380,3320,-0.04999999999999993,78,1355,42,911,TRUE
2021.10.11 g6 MATa 1_8.tif,7,1,11,900,3980,170,1630,3510,4450,0,98,1376,34,903,TRUE
2021.10.11 g6 MATa 1_8.tif,8,2,11,2495,3980,1770,3220,3510,4450,-0.010000000000000009,75,1353,40,910,TRUE
2021.10.11 g1 MATa 9_16.tif,1,1,2,900,610,170,1630,140,1080,0.040000000000000036,97,1378,35,902,TRUE
2021.10.11 g1 MATa 9_16.tif,2,2,2,2495,610,1770,3220,140,1080,-0.10999999999999999,87,1365,40,907,TRUE
2021.10.11 g1 MATa 9_16.tif,3,1,5,900,1755,170,1630,1270,2240,0,101,1382,32,899,TRUE
2021.10.11 g1 MATa 9_16.tif,4,2,5,2495,1755,1770,3220,1270,2240,-0.09999999999999998,79,1355,39,908,TRUE
2021.10.11 g1 MATa 9_16.tif,5,1,7,900,2850,170,1630,2380,3320,0,98,1377,37,905,TRUE
2021.10.11 g1 MATa 9_16.tif,6,2,7,2495,2850,1770,3220,2380,3320,-0.12,79,1357,45,914,TRUE
2021.10.11 g1 MATa 9_16.tif,7,1,10,900,3980,170,1630,3510,4450,-0.010000000000000009,97,1376,35,904,TRUE
2021.10.11 g1 MATa 9_16.tif,8,2,10,2495,3980,1770,3220,3510,4450,-0.04999999999999993,76,1354,43,911,TRUE
2021.10.11 g1 MATa 1_8.tif,1,1,1,905,610,180,1630,110,1110,0,91,1371,62,930,TRUE
2021.10.11 g1 MATa 1_8.tif,2,2,1,2500,610,1770,3230,110,1110,-0.31999999999999995,91,1371,69,937,TRUE
2021.10.11 g1 MATa 1_8.tif,3,1,3,905,1755,180,1630,1270,2240,0,93,1371,31,900,TRUE
2021.10.11 g1 MATa 1_8.tif,4,2,3,2500,1755,1770,3230,1270,2240,-0.16000000000000003,79,1355,36,904,TRUE
2021.10.11 g1 MATa 1_8.tif,5,1,5,905,2850,180,1630,2380,3320,0,89,1370,35,904,TRUE
2021.10.11 g1 MATa 1_8.tif,6,2,5,2500,2850,1770,3230,2380,3320,-0.010000000000000009,81,1357,44,913,TRUE
2021.10.11 g1 MATa 1_8.tif,7,1,8,905,3995,180,1630,3510,4480,0,88,1365,35,904,TRUE
2021.10.11 g1 MATa 1_8.tif,8,2,8,2500,3995,1770,3230,3510,4480,0,75,1352,42,911,TRUE
2021.10.11 scr MATa 9_16.tif,1,1,2,900,625,170,1630,140,1110,0,101,1379,32,899,TRUE
2021.10.11 scr MATa 9_16.tif,2,2,2,2500,625,1770,3230,140,1110,-0.31999999999999995,89,1368,40,907,TRUE
2021.10.11 scr MATa 9_16.tif,3,1,3,900,1740,170,1630,1240,2240,0,100,1380,60,928,TRUE
2021.10.11 scr MATa 9_16.tif,4,2,3,2500,1740,1770,3230,1240,2240,-0.08999999999999997,83,1359,65,933,TRUE
2021.10.11 scr MATa 9_16.tif,5,1,5,900,2865,170,1630,2380,3350,0,103,1379,37,904,TRUE
2021.10.11 scr MATa 9_16.tif,6,2,5,2500,2865,1770,3230,2380,3350,-0.10999999999999999,81,1358,43,912,TRUE
2021.10.11 scr MATa 9_16.tif,7,1,7,900,3980,170,1630,3510,4450,0,101,1376,34,902,TRUE
2021.10.11 scr MATa 9_16.tif,8,2,7,2500,3980,1770,3230,3510,4450,-0.010000000000000009,78,1358,42,911,TRUE
2021.10.11 scr MATa 1_8.tif,1,1,2,895,625,170,1620,140,1110,0,102,1381,34,902,TRUE
2021.10.11 scr MATa 1_8.tif,2,2,2,2505,625,1780,3230,140,1110,-0.27,82,1362,41,908,TRUE
2021.10.11 scr MATa 1_8.tif,3,1,4,895,1755,170,1620,1270,2240,0,102,1380,33,901,TRUE
2021.10.11 scr MATa 1_8.tif,4,2,4,2505,1755,1780,3230,1270,2240,-0.010000000000000009,69,1345,40,908,TRUE
