plate_id,date,group,position,timepoint,hours_growth,file,template,strain_collection_id,plate,query_id,treatment_id,media_id,temperature,time_series,start,end,owner,email
2021-11-08-008-001-001,2021-11-08,8,1,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,9,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-008-002-001,2021-11-08,8,2,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,10,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-008-003-001,2021-11-08,8,3,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,11,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-008-004-001,2021-11-08,8,4,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,12,g-scr,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-008-005-001,2021-11-08,8,5,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,13,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-008-006-001,2021-11-08,8,6,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,14,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-008-007-001,2021-11-08,8,7,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,15,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-008-008-001,2021-11-08,8,8,1,0,2021.11.08 g6 MATa 9_16.tif,2021.11.08 g6 MATa 9_16.tif,MATa-2021ver-384,16,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:52:24,2021-11-08 14:52:24,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-007-001-001,2021-11-08,7,1,1,0,2021.11.08 g6 MATa 1_8.tif,2021.11.08 g6 MATa 1_8.tif,MATa-2021ver-384,1,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:49:30,2021-11-08 14:49:30,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-007-002-001,2021-11-08,7,2,1,0,2021.11.08 g6 MATa 1_8.tif,2021.11.08 g6 MATa 1_8.tif,MATa-2021ver-384,2,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:49:30,2021-11-08 14:49:30,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-007-003-001,2021-11-08,7,3,1,0,2021.11.08 g6 MATa 1_8.tif,2021.11.08 g6 MATa 1_8.tif,MATa-2021ver-384,3,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:49:30,2021-11-08 14:49:30,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-007-004-001,2021-11-08,7,4,1,0,2021.11.08 g6 MATa 1_8.tif,2021.11.08 g6 MATa 1_8.tif,MATa-2021ver-384,4,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:49:30,2021-11-08 14:49:30,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-007-005-001,2021-11-08,7,5,1,0,2021.11.08 g6 MATa 1_8.tif,2021.11.08 g6 MATa 1_8.tif,MATa-2021ver-384,5,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:49:30,2021-11-08 14:49:30,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-007-006-001,2021-11-08,7,6,1,0,2021.11.08 g6 MATa 1_8.tif,2021.11.08 g6 MATa 1_8.tif,MATa-2021ver-384,6,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:49:30,2021-11-08 14:49:30,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
2021-11-08-007-007-001,2021-11-08,7,7,1,0,2021.11.08 g6 MATa 1_8.tif,2021.11.08 g6 MATa 1_8.tif,MATa-2021ver-384,7,g6,estr-2,SCG-Leu+5FOA,30,No,2021-11-08 14:49:30,2021-11-08 14:49:30,"Robert Reid, Ph.D.",rr381@cumc.columbia.edu
