strain_collection_id,strain_id,strain_name,gene_id,plate,row,column,plate_control,excluded
MATa-2021ver-384,blank,blank,-,1,2,2,TRUE,FALSE
MATa-2021ver-384,rec338,pau8,S000002142,1,2,4,TRUE,FALSE
MATa-2021ver-384,rec339,seo1,S000000062,1,2,6,TRUE,FALSE
MATa-2021ver-384,rec340,yal066w,S000000061,1,2,8,TRUE,FALSE
MATa-2021ver-384,rec341,yal065c,S000001817,1,2,10,TRUE,FALSE
MATa-2021ver-384,rec345,gdh3,S000000058,1,2,12,TRUE,FALSE
MATa-2021ver-384,rec346,bdh2,S000000057,1,2,14,TRUE,FALSE
MATa-2021ver-384,rec347,bdh1,S000000056,1,2,16,TRUE,FALSE
MATa-2021ver-384,rec348,ecm1,S000000055,1,2,18,TRUE,FALSE
MATa-2021ver-384,rec349,cne1,S000000054,1,2,20,TRUE,FALSE
MATa-2021ver-384,rec351,gpb2,S000000052,1,2,22,TRUE,FALSE
MATa-2021ver-384,rec352,pex22,S000000051,1,2,24,TRUE,FALSE
MATa-2021ver-384,rec354,flc2,S000000049,1,4,2,TRUE,FALSE
MATa-2021ver-384,rec355,oaf1,S000000048,1,4,4,TRUE,FALSE
MATa-2021ver-384,rec356,aim2,S000000047,1,4,6,TRUE,FALSE
MATa-2021ver-384,rec357,gem1,S000000046,1,4,8,TRUE,FALSE
MATa-2021ver-384,rec359,aim1,S000000044,1,4,10,TRUE,FALSE
MATa-2021ver-384,rec360,yal045c,S000000043,1,4,12,TRUE,FALSE
MATa-2021ver-384,rec361,gcv3,S000000042,1,4,14,TRUE,FALSE
MATa-2021ver-384,rec363,erv46,S000000040,1,4,16,TRUE,FALSE
MATa-2021ver-384,rec364,yal042c-a,S000002138,1,4,18,TRUE,FALSE
MATa-2021ver-384,rec366,cln3,S000000038,1,4,20,TRUE,FALSE
MATa-2021ver-384,rec367,cyc3,S000000037,1,4,22,TRUE,FALSE
MATa-2021ver-384,rec369,yal037w,S000000035,1,4,24,TRUE,FALSE
MATa-2021ver-384,rec370,rbg1,S000000034,1,6,2,TRUE,FALSE
MATa-2021ver-384,rec371,fun12,S000000033,1,6,4,TRUE,FALSE
MATa-2021ver-384,rec374,fun19,S000002134,1,6,6,TRUE,FALSE
MATa-2021ver-384,rec377,gip4,S000000029,1,6,8,TRUE,FALSE
MATa-2021ver-384,rec378,snc1,S000000028,1,6,10,TRUE,FALSE
MATa-2021ver-384,rec379,myo4,S000000027,1,6,12,TRUE,FALSE
MATa-2021ver-384,rec380,frt2,S000000026,1,6,14,TRUE,FALSE
MATa-2021ver-384,rec381,saw1,S000000025,1,6,16,TRUE,FALSE
MATa-2021ver-384,rec382,drs2,S000000024,1,6,18,TRUE,FALSE
MATa-2021ver-384,rec385,pmt2,S000000021,1,6,20,TRUE,FALSE
MATa-2021ver-384,rec386,fun26,S000000020,1,6,22,TRUE,FALSE
MATa-2021ver-384,rec387,ccr4,S000000019,1,6,24,TRUE,FALSE
MATa-2021ver-384,rec388,ats1,S000000018,1,8,2,TRUE,FALSE
MATa-2021ver-384,rec389,fun30,S000000017,1,8,4,TRUE,FALSE
MATa-2021ver-384,rec390,lds1,S000000016,1,8,6,TRUE,FALSE
MATa-2021ver-384,rec391,psk1,S000000015,1,8,8,TRUE,FALSE
MATa-2021ver-384,rec393,ntg1,S000000013,1,8,10,TRUE,FALSE
MATa-2021ver-384,rec394,syn8,S000000012,1,8,12,TRUE,FALSE
MATa-2021ver-384,rec395,dep1,S000000011,1,8,14,TRUE,FALSE
MATa-2021ver-384,rec397,swc3,S000000009,1,8,16,TRUE,FALSE
MATa-2021ver-384,rec398,mdm10,S000000008,1,8,18,TRUE,FALSE
MATa-2021ver-384,rec399,spo7,S000000007,1,8,20,TRUE,FALSE
MATa-2021ver-384,rec400,fun14,S000000006,1,8,22,TRUE,FALSE
MATa-2021ver-384,rec401,erp2,S000000005,1,8,24,TRUE,FALSE
MATa-2021ver-384,rec402,yal004w,S000002136,1,10,2,TRUE,FALSE
MATa-2021ver-384,rec403,ssa1,S000000004,1,10,4,TRUE,FALSE
MATa-2021ver-384,rec405,vps8,S000000002,1,10,6,TRUE,FALSE
MATa-2021ver-384,rec407,nup60,S000000063,1,10,8,TRUE,FALSE
MATa-2021ver-384,rec408,swd1,S000000064,1,10,10,TRUE,FALSE
MATa-2021ver-384,rec413,bud14,S000000069,1,10,12,TRUE,FALSE
MATa-2021ver-384,rec414,ade1,S000000070,1,10,14,TRUE,FALSE
MATa-2021ver-384,rec415,kin3,S000000071,1,10,16,TRUE,FALSE
MATa-2021ver-384,rec417,pau7,S000000073,1,10,18,TRUE,FALSE
MATa-2021ver-384,rec418,yar023c,S000000074,1,10,20,TRUE,FALSE
MATa-2021ver-384,rec419,uip3,S000000075,1,10,22,TRUE,FALSE
MATa-2021ver-384,rec420,yar028w,S000000076,1,10,24,TRUE,FALSE
MATa-2021ver-384,rec421,yar029w,S000000077,1,12,2,TRUE,FALSE
MATa-2021ver-384,rec422,prm9,S000000078,1,12,4,TRUE,FALSE
MATa-2021ver-384,rec423,yar030c,S000001821,1,12,6,TRUE,FALSE
MATa-2021ver-384,rec425,yat1,S000000080,1,12,8,TRUE,FALSE
MATa-2021ver-384,rec426,yar037w,YAR037W,1,12,10,TRUE,FALSE
MATa-2021ver-384,rec427,yar040c,YAR040C,1,12,12,TRUE,FALSE
MATa-2021ver-384,rec428,swh1,S000000081,1,12,14,TRUE,FALSE
MATa-2021ver-384,rec429,yar043c,S000120182,1,12,16,TRUE,FALSE
MATa-2021ver-384,rec430,swh1,S000000081,1,12,18,TRUE,FALSE
MATa-2021ver-384,rec431,yar047c,S000000083,1,12,20,TRUE,FALSE
MATa-2021ver-384,rec1489,dnm1,S000003924,1,12,22,TRUE,FALSE
MATa-2021ver-384,rec1490,rtt109,S000003925,1,12,24,TRUE,FALSE
MATa-2021ver-384,rec1493,spo75,S000003928,1,14,2,TRUE,FALSE
MATa-2021ver-384,rec1494,mmm1,S000003929,1,14,4,TRUE,FALSE
MATa-2021ver-384,rec1497,cox17,S000003932,1,14,6,TRUE,FALSE
MATa-2021ver-384,rec1498,psr1,S000003933,1,14,8,TRUE,FALSE
MATa-2021ver-384,rec1500,yeh1,S000003935,1,14,10,TRUE,FALSE
MATa-2021ver-384,rec1501,puf3,S000003936,1,14,12,TRUE,FALSE
MATa-2021ver-384,rec1502,emc6,S000003937,1,14,14,TRUE,FALSE
MATa-2021ver-384,rec1503,bpt1,S000003938,1,14,16,TRUE,FALSE
MATa-2021ver-384,rec1504,sdc25,S000003939,1,14,18,TRUE,FALSE
MATa-2021ver-384,rec1505,yll017w,S000003940,1,14,20,TRUE,FALSE
MATa-2021ver-384,rec1507,kns1,S000003942,1,14,22,TRUE,FALSE
MATa-2021ver-384,rec1508,yll020c,S000003943,1,14,24,TRUE,FALSE
MATa-2021ver-384,rec1509,spa2,S000003944,1,16,2,TRUE,FALSE
MATa-2021ver-384,blank,blank,-,1,16,4,TRUE,FALSE
MATa-2021ver-384,rec1511,pom33,S000003946,1,16,6,TRUE,FALSE
MATa-2021ver-384,rec1512,ssa2,S000003947,1,16,8,TRUE,FALSE
MATa-2021ver-384,rec1513,pau17,S000003948,1,16,10,TRUE,FALSE
MATa-2021ver-384,rec1514,hsp104,S000003949,1,16,12,TRUE,FALSE
MATa-2021ver-384,rec1516,tpo1,S000003951,1,16,14,TRUE,FALSE
MATa-2021ver-384,rec1517,fra1,S000003952,1,16,16,TRUE,FALSE
MATa-2021ver-384,rec1520,yll032c,S000003955,1,16,18,TRUE,FALSE
MATa-2021ver-384,rec1521,irc19,S000003956,1,16,20,TRUE,FALSE
MATa-2021ver-384,rec1526,ent4,S000003961,1,16,22,TRUE,FALSE
MATa-2021ver-384,rec1527,ubi4,S000003962,1,16,24,TRUE,FALSE
MATa-2021ver-384,rec1528,vps13,S000003963,1,2,1,TRUE,FALSE
MATa-2021ver-384,blank,blank,-,1,2,3,TRUE,FALSE
MATa-2021ver-384,rec1529,sdh2,S000003964,1,2,5,TRUE,FALSE
MATa-2021ver-384,rec1530,atg10,S000003965,1,2,7,TRUE,FALSE
MATa-2021ver-384,rec1531,fps1,S000003966,1,2,9,TRUE,FALSE
MATa-2021ver-384,rec1533,rpl8b,S000003968,1,2,11,TRUE,FALSE
MATa-2021ver-384,rec1534,rnp1,S000003969,1,2,13,TRUE,FALSE
MATa-2021ver-384,rec1535,yll047w,S000003970,1,2,15,TRUE,FALSE
MATa-2021ver-384,rec1539,fre6,S000003974,1,2,17,TRUE,FALSE
