temperature,strain_name,strain_id,plate,row,column,query_id,t,p,mean_dif,sd_dif,mean_lgr,sd_lgr
30,ctf19,rec2810,7,8,2,g1,-31.987720661240992,6.863910142428572e-14,-0.5516418969813325,0.0457900461314478,-1.772510092004196,0.1895073159003866
30,dbf2,rec6990,13,4,23,g6,-37.480537782138285,2.1666834524651313e-15,-0.6929076551861434,0.07086256202454329,-2.802486500111669,0.4132087798241122
30,hhf2,rec5356,11,3,22,g6,-22.134097983728918,4.8233456987003425e-12,-0.5066490744958868,0.05824921891871601,-1.1988005052327613,0.15690745089372848
30,irc15,rec7339,14,2,16,g1,-21.114890143339267,8.53772669840859e-12,-0.6175508992310654,0.037157421784449994,-1.6537572246354246,0.2572802197581072
30,irc15,rec7339,14,2,16,g6,-22.52620650352984,2.862324662488046e-12,-0.6421901430221696,0.056915090961482624,-1.7802105590806394,0.2956731037650745
30,lsm1,rec1301,9,9,8,g1,-23.711140621979,1.0991173775009981e-12,-0.6189521271493207,0.1033283500954975,-1.696518687391906,0.3524249430253872
30,lsm1,rec1301,9,9,8,g6,-24.135301005908836,3.8697121259387754e-11,-0.5293857646765068,0.06855833795684009,-1.2807862648085604,0.16311092689849452
30,mcm21,rec3677,8,8,19,g1,-36.751935965562,1.7883238924286113e-12,-0.5470007970960826,0.04690174343882028,-1.2968587168009256,0.10762720361323413
30,mcm21,rec3677,16,8,19,g1,-17.406919866028186,8.937339566323933e-11,-0.6095988506445504,0.1327015193158059,-1.3709359929605853,0.3582976001652256
30,mcm21,rec7648,12,3,7,g1,-39.019886786666106,1.110334108987948e-15,-0.5115991474230092,0.02843818693163393,-1.255204376297491,0.09231518180312089
30,mcm21,rec7648,12,3,7,g6,-57.328595283407346,1.1962312661796981e-17,-0.7042295903277107,0.03317719650583207,-2.322462644649901,0.17989041262898103
30,mga2,rec5968,8,5,5,g1,-28.31723658067654,9.378954919986205e-14,-0.5679904659214492,0.05820149979642775,-1.3531374046442988,0.17113034696292873
30,mnn10,rec3604,9,5,19,g1,-20.83265682504499,3.4663324717166127e-11,-0.6267843181076217,0.06410616593297079,-1.2908212478118484,0.150735432546943
30,mre11,rec810,15,5,3,g1,-45.34533175879996,2.8686578785344314e-14,-0.7533913182130424,0.03357490343765898,-2.658175473769417,0.22311980684501156
30,mre11,rec810,15,5,3,g6,-32.643682922442416,4.281250099018268e-14,-0.7492185485779251,0.04133007503450409,-2.6741928356814557,0.46643889492518165
30,rad50,rec6464,9,2,15,g1,-30.93035568518338,5.445291121907776e-12,-0.9484078185175233,0.10731876831469137,-3.3072663903332553,0.9777544646637775
30,rad50,rec6464,9,2,15,g6,-47.08050288460529,2.135890154459929e-15,-0.8503286583883625,0.045475620495667786,-2.2522889807567683,0.19318191677242882
30,rad52,rec540,1,7,12,g1,-51.29528316813738,5.953566579965172e-16,-0.721493768982508,0.04191024849445579,-2.6690513287411863,0.2540627267040507
30,rad54,rec4530,13,12,9,g6,-29.062040616605056,2.8619180430345637e-11,-0.7309511789649807,0.06384436172856989,-2.1761529400733117,0.45042267088252047
30,rad54,rec4530,15,6,8,g6,-23.511072307258374,1.3844049363155515e-11,-0.6968684732900864,0.06864695144691282,-2.447676795687476,0.40390139681580833
30,rad55,rec4011,3,1,14,g1,-42.32130599169604,5.042715967015134e-14,-0.86983492599375,0.04950818186826538,-3.3455066384478744,0.4424226587898892
30,rad55,rec4011,3,1,14,g6,-45.9127175983272,8.604332070937954e-13,-0.8874998040014361,0.048877999429195004,-3.62112501794879,0.42874955973380385
30,rad57,rec3944,10,13,16,g1,-35.984988060022374,9.283245510831086e-15,-0.627441818129327,0.054848109649309494,-2.0384677020733695,0.334643979662264
30,rad57,rec3944,10,13,16,g6,-48.99786167671764,3.642122453102081e-15,-0.6417187394494708,0.017892512948974183,-2.1215270792040046,0.1158271064089597
30,rad57,rec3944,13,4,7,g1,-27.873077703303274,8.948214392069713e-12,-0.7837974785151369,0.07965787237307584,-2.7764748481279606,0.709723245718876
30,rad57,rec3944,13,4,7,g6,-46.51623209778072,2.6798729920970057e-13,-0.7392279291823369,0.03637038504283622,-2.2647525736058918,0.13523935590092745
30,rtt109,rec1490,15,5,1,g6,-22.64384865207687,2.9246263115801725e-12,-0.6499979494115967,0.049739353441716934,-1.9277691146296099,0.25952111028595287
30,xrs2,rec4205,3,15,8,g1,-22.30956439406354,7.964896274779704e-12,-0.6431990612765142,0.0966025856120135,-1.797943053523295,0.3470632276667583
30,xrs2,rec4205,3,15,8,g6,-37.33017754117827,1.442072372686688e-11,-0.7121440936308973,0.0473457608652652,-2.2041571414428893,0.15674728485092063
